Date,Open_Price,Close_Price,High_Price,Low_Price,Volume,Daily_Return_Pct,Volatility_Range,Market_Cap,SMA_20,SMA_50,RSI_14
08/09/1902,100,100.5,100.63,99.35,2284489,0,1.28,212644581.7,97.354,98.663,50
09/09/1902,100.5,102.02,102.3,99.49,4522471,1.5124,2.81,349921603.7,97.354,98.663,50
10/09/1902,102.02,101.54,102.18,101.3,3394769,-0.4705,0.88,296745179.8,97.354,98.663,50
11/09/1902,101.54,101.66,102.12,101.07,9834633,0.1182,1.05,318916009.9,97.354,98.663,50
12/09/1902,101.66,99.04,102.61,98.23,4771339,-2.5772,4.38,215332452.1,97.354,98.663,50
15/09/1902,99.04,97.52,99.75,95.38,134654,-1.5347,4.37,339852596.4,97.354,98.663,50
16/09/1902,97.52,96.04,99.01,96.02,2478388,-1.5176,2.99,444172343.4,97.354,98.663,50
17/09/1902,96.04,96.4,97.55,95.67,6690913,0.3748,1.88,155453677.2,97.354,98.663,50
18/09/1902,96.4,95.8,97.35,95.51,4106518,-0.6224,1.84,103933015.1,97.354,98.663,50
19/09/1902,95.8,95.16,96.93,94.79,6447986,-0.6681,2.14,419453566.7,97.354,98.663,50
22/09/1902,95.16,94.93,95.55,93.67,2355413,-0.2417,1.88,397898729.3,97.354,98.663,50
23/09/1902,94.93,96.02,96.35,93.54,321836,1.1482,2.81,189998788.8,97.354,98.663,50
24/09/1902,96.02,96.76,96.93,95.91,8461855,0.7707,1.02,416892094,97.354,98.663,50
25/09/1902,96.76,96.46,97.03,94.82,3544679,-0.31,2.21,358421542.6,97.354,98.663,50
26/09/1902,96.46,95.12,97.34,93.98,6130526,-1.3892,3.36,398835220.9,97.354,98.663,26.44
29/09/1902,95.12,95.25,97.13,93.75,2280919,0.1367,3.38,443271137,97.354,98.663,27.2
30/09/1902,95.25,96.28,97.21,94.41,9517719,1.0814,2.8,241541089.4,97.354,98.663,33.08
01/10/1902,96.28,95.97,97.18,95.86,3797389,-0.322,1.32,404495377,97.354,98.663,32.24
02/10/1902,95.97,97.15,98.05,95.14,541234,1.2296,2.91,374156268.6,97.354,98.663,38.66
03/10/1902,97.15,97.45,97.81,96.51,6964550,0.3088,1.3,323471313.5,97.354,98.663,40.21
06/10/1902,97.45,97.41,99.01,94.79,8561017,-0.041,4.22,463414438.1,97.199,98.663,40.06
07/10/1902,97.41,98.23,99.61,97.13,5342895,0.8418,2.48,358822013.4,97.01,98.663,44.49
08/10/1902,98.23,96.82,99.28,95.91,1023548,-1.4354,3.37,323991311.9,96.774,98.663,39.14
09/10/1902,96.82,96.83,98.25,96.62,6266204,0.0103,1.63,322299724.1,96.532,98.663,39.19
10/10/1902,96.83,96.62,97.26,96.12,1625557,-0.2169,1.14,329159144.4,96.411,98.663,38.39
13/10/1902,96.62,97.78,99.26,96.39,8356461,1.2006,2.87,448486047.3,96.424,98.663,45.05
14/10/1902,97.78,97.44,98.53,97.11,2534413,-0.3477,1.42,208513773.2,96.494,98.663,43.56
15/10/1902,97.44,96.57,97.69,96.21,5747469,-0.8929,1.48,369749700.6,96.502,98.663,39.94
16/10/1902,96.57,95.7,97.08,94.39,4472880,-0.9009,2.69,174501241,96.498,98.663,36.65
17/10/1902,95.7,98.65,98.99,94.9,6507294,3.0825,4.09,203863538,96.672,98.663,51.29
20/10/1902,98.65,98.16,99.22,96.07,89353,-0.4967,3.15,355280848.2,96.834,98.663,49.25
21/10/1902,98.16,99.43,101.35,98.14,7122695,1.2938,3.21,305228698.1,97.004,98.663,54.32
22/10/1902,99.43,99.53,99.96,98.77,5645108,0.1006,1.19,459963661.1,97.142,98.663,54.7
23/10/1902,99.53,99.53,100.77,98.1,4422093,0,2.67,362604018.6,97.296,98.663,54.7
24/10/1902,99.53,99.5,100.7,98.36,7153230,-0.0301,2.34,260629670.3,97.515,98.663,54.54
27/10/1902,99.5,100.25,100.39,98.1,3130389,0.7538,2.29,154329690.1,97.765,98.663,57.84
28/10/1902,100.25,101.47,101.86,99.81,1709066,1.217,2.05,135350825.8,98.024,98.663,62.6
29/10/1902,101.47,101.85,103.55,100.6,4185314,0.3745,2.95,304336132.6,98.318,98.663,63.97
30/10/1902,101.85,102.74,103.34,101.13,121295,0.8738,2.21,339628708.4,98.598,98.663,67
31/10/1902,102.74,102.47,103.98,102.4,5301035,-0.2628,1.58,300512384.9,98.849,98.663,65.21
03/11/1902,102.47,101.63,103.14,99.76,8586326,-0.8198,3.38,277845297.2,99.06,98.663,59.84
04/11/1902,101.63,102.02,103.07,101.1,2254664,0.3837,1.97,324325681.6,99.25,98.663,61.43
05/11/1902,102.02,100.31,102.14,99.31,5234502,-1.6761,2.83,266168327.6,99.424,98.663,51.76
06/11/1902,100.31,100.47,101.7,98.99,3724515,0.1595,2.71,125922207.8,99.606,98.663,52.51
